BlockSize	cpblk	memcpy	Array.Copy	CustomCopy	Marshal.Copy
4	583	346	99	557	111
8	1509	770	212	2184	224
16	2689	1451	417	3459	422
32	4705	2666	802	5378	864
64	8205	4812	1568	7529	1748
128	13333	8101	3004	9275	3184
256	18823	11428	5470	10491	5245
512	22068	16000	9014	11428	9552
1024	22857	19393	13333	7804	13617
2048	23703	21333	17297	8000	17777
4096	23703	22068	19393	8101	20000
8192	23703	22857	22068	8101	22068
16384	23703	22857	17297	8101	21333
32768	16410	16410	12800	8101	16000
65536	13061	14883	13061	8101	14545
131072	14222	13913	12800	8101	13617
262144	5000	5039	7901	7710	5000
524288	5079	5000	8205	8205	5079
1048576	4885	4885	7441	7619	4671
2097152	5039	5079	7619	7710	5000
